commentaires;notes
Great place to stay tucked away off main road.;10
Exceptional;10
Superb;9.0
Very good;8.0
Laughed at my expense;10
A very enjoyable stay.;9.0
Very good;8.0
Lovely stay;10
Very good;8.0
Great hotel;10
Very good;8.0
I was certainly made to feel comfortable here and would visit again. Fantastic value for money.;9.0
Great stay, love to come back.;9.0
They were absolutely great;10
Superb;9.0
Exceptional;10
London is a perfect place to visit at the moment whilst the many foreign tourists stay away.;9.0
Superb;9.0
Exceptional;10
Fantastic hotel great staff and a super deal;9.0
Great stay in a very nice hotel;10
Very good;8.3
Superb;9.0
Hidden gem in the city!;9.0
Superb;9.0
Superb;9.0
Exceptional;10
FANTASTIC;9.0
Exceptional;10
Exceptional;10
Perfect weekend break.;10
Highly rates;10
Fabulous!;10
Amazing service;10
We both had a really good time and I would stay again.;8.0
Superb;9.0
Thankyou;8.0
Fantastic value for money;10
A perfect weekend!;9.0
Exceptional;10
Fantastic stay, would definitely stay again :);10
Would recommend.nice hotel in central area.;9.0
Lovely stay;10
Great price, great location;10
Very positive;9.0
Exceptional;10
A lovely complimentary upgrade was fab;10
Lovely hotel;9.0
Fantastic hotel in a central local;10
This Hotel is a hidden gem!;9.0
Very good;8.0
Very relaxing;8.0
An oasis of calm in a busy city.;9.0
Superb;9.0
Very good;8.0
Excellent.;10
Superb;9.0
Excellent location, close to Blackfriars tube station;8.0
Lovely city break in London;9.0
Superb;9.0
Very good;8.0
Exceptional;10
Superb;9.0
Great stay;9.0
Lovely stay;10
Weekend away in the city;10
Superb;9.0
Exceptional;10
Third time I have stayed perfect hotel.;9.0
Superb;9.0
Exceptional;10
Superb;9.0
Great staff. Good price. Location very good.;9.0
Superb;9.0
Romantic get away;10
The staff were so accommodating and the room was really lovely;10
Exceptional;10
Great City Break!;9.0
Great stay!;10
Amazing;8.0
Excellent.;9.0
Lovely;10
Great hotel and location;10
Exceptional;10
Very good;8.0
Amazing stay!;9.0
Good location and comfy room;8.0
Superb;9.0
Enjoyable stay! Would stay at the hotel again;9.0
Perfect;10
Exceptional;10
Exceptional;10
Exceptional;10
Good hotel very close to the West end abd South Bank with many transport option;9.0
Superb;9.0
Impressed !;10
We stayed here for 2 nights and we were treated so well by staff, definitely recommending to friends and family thank yo;10
Exceptional;10
Lovely comfortable stay in a fantastic location. Will stay again;8.0
Enjoyed every second;10
i will do it again.;9.0
City break;10
Superb;9.0
Exceptional;10
Brilliant!;9.0
Brilliant;10
Exceptional;10
Exceptional;10
Exceptional;10
Superb;9.0
Exceptional;10
Exceptional;10
Best hotel in London;10
Plush and Friendly;10
Very nice hotel in good location;8.0
Lovely central hotel;9.0
Excellent value for money and nothing was to much for the polite and very friendly staff.;10
Superb;9.0
Exceptional;10
??;10
Outstanding hotel;10
Could not fault our stay will definitely revisit;10
Very good;8.0
Exceptional;10
Exceptional;10
Excellent high quality hotel in a great central location.;10
Excellent hotel in a central location.;10
Excellent;10
Very good;8.0
Super hotel;10
Awesome stay;10
Lovely stay in the heart of London!;8.0
Very good value, excellent friendly staff;10
Exceptional;10
Exceptional;10
A lovely stay will be going back;10
Really good luxury hotel - amazing location - and affordable price;9.0
Birthday trip;10
"Very enjoyable; great that the other members of my party where in the room next door. Bed very comfo";8.0
A gem in the City of London;10
Good location. Not friendly staff;8.0
Gorgeous room, amazing beds & lovely location! Really nice and quiet. Very impressed.;10
Great hotel in Central London;9.0
Great hotel and quiet;10
Exceptional;10
Cozy room designs, clean and great for a few nights.;10
Exceptional;10
Exceptional;10
Our stay was very enjoyable. Lovely hotel great location;8.0
A quiet night in the centre of London.;9.0
Overall very good and good quality room as expected.;8.0
Absolutely smashing!;10
Superb;9.0
Exceptional;10
Brilliant and ticked all the boxes we needed;10
Clean, relaxing stay;9.0
Superb;9.0
Exceptional;10
Exceptional;10
Exceptional;10
We’ve stayed here before. It’s a lovely place to stay and amazing location;10
Exceptional;10
Exceptional;10
Lovely hotel but disappointing customer service when needed;8.0
Superb;9.0
Weekend break;8.0
Exceptional;10
Very good and pleasant.;8.0
Great value in a central location!;9.0
Lovely, and pleasant. However the bathroom was a disable one, do check in with the hotel staff.;8.0
Comfiest beds! A lovely stay;9.0
Great for a night stay.;9.0
Lovely stay, we loved the room, my daughter struggled to get out of bed as she was too comfy!;8.0
Always a reliable choice;8.0
Fantastic hotel with fantastic facilities in an amazing location;10
Small but beautiful hotel with fabulous service.;9.0
Lovely base for a short break in London;10
Amazing Hotel;10
Exceptional;10
London trip in time of Covid;10
Nice room but noisy;8.0
Excellent hotel.;10
Exceptional;10
Good hotel.. get some vegan options for breakfast!;8.0
Superb;9.0
The stay was comfortable and safe;9.0
Superb;9.0
Exceptional;10
Very good;8.0
Lovely Stay;9.0
Excellent!;10
Really enjoyable;8.0
Clean and comfy stay. Would definitely return!;10
Very pleased with experience despite Covid;10
Overall a comfortable stay.;8.0
Recommended;9.0
Superb;9.0
Good location;9.0
Superb;9.0
Exceptional;10
Excellent would recommend;10
Superb;9.0
perfect hotel in a perfect location;10
Excellent hotel;10
Superb;9.0
Exceptional;10
Exceptional;10
Very good;8.0
Lovely room in an ideal location;10
Exceptional;9.6
Exceptional;10
great;9.0
Very good;8.0
Perfect hotel, great location;10
Nice, clean and good value hotel with lovely staff;10
Very good;8.0
Superb;9.0
Lovely;8.0
Exceptional;10
A fantastic week away;10
Superb;9.0
Exceptional;10
Amazing hotel very comfy and would stay again;10
Fantastic stay, Clean and excellent customer service.;10
Very clean and tidy outside and in. Nice court yard. Quiet for a city hotel. All round very good;8.0
Just what I needed!;10
The perfect getaway;10
Exceptional;10
Exceptional;10
Great hotel, great location, we enjoyed our stay.;10
Excellent. Fantastic Hotel. Great Staff.;10
Very good;8.0
Overall a lovely hotel with some nice quirks.;8.0
Excellent hotel;10
Superb;9.0
Great little (big) gem of a hotel in the middle of London!;9.0
Location;8.0
Exceptional;10
Good hotel, excellent staff helpful and friendly. Good location and value for mpney;8.0
Beast.;10
Superb;9.0
Fabulous stay;9.0
Loved it!;10
Excellent;9.0
Superb;9.0
Amazing hotel definitely worth the money;10
Great stay in fantastic hotel.;10
Great stay;9.0
Birthday weekend away with bae.....;9.0
Perfect stay in this stunning hotel. We were upgraded to a suite which was unexpected.;10
Excellent. I will recommend this hotel;10
Exceptional;10
Fantastic hotel!;10
Fabulous;8.8
"Excellent hotel ideally located for Covent Garden & ""the City""";8.0
Nice hotel in a good location.;9.0
Very quiet, lovely comfy beds;9.0
Fun weekend;8.0
Always great times spent at the Apex TC;10
Very good;8.0
Worth it;9.0
Fabulous hotel;10
Exceptional;9.6
Incredible stay;10
Perfect stay;10
HIGHLY RECOMMEND;10
Best stay at the Apex Temple Court Hotel;10
Fantastic location. Would recommend a stay.;10
Felt like a celebrity!;10
Amazing Stay;9.0
Perfect;10
Relaxing, comfortable and v enjoyable, good breakfast, helpful staff;9.0
Perfect Hotel!;10
Excellent room, lovely courtyard to chill out. More central than you think.;10
A Pleasant Stay;10
Gorgeous hotel, great staff, lovely experience.;10
Superb;9.0
Perfect for our vacation.;9.0
Fantastic.;10
Great location, service and food!;9.0
Beautiful hotel. But service could be improved.;8.0
Enjoyed it and would stay again;8.0
Fantastic, Worth It;10
Amazing place! One the best hotels in London;10
Lovely hotel;10
Can’t wait to return;10
Just an overnight stay while working in London.. KFC very close by so had to have it. bath was huge.;8.0
Exceptional;10
Lovely;10
Superb;9.0
Very good;8.0
Luxury stay for an unbelievable price, including breakfast.;9.0
Worth the stay if you are in central london. Great location :);9.0
"A wonderful stay; just too short!";9.0
wonderful;10
Most comfortable;9.0
Exceptional;10
Had a lovely stay and wish we could have stayed longer.;9.0
Thoroughly wonderful hotel in a great location for exploring London;10
Another excellent hotel.;9.0
Relaxed stay with COVID restrictions;8.0
Exceptional;10
Not the best start but in the end it was very nice;8.0
A very pleasant stay;10
It was a romantic getaway for me and my husband;9.0
Very good;8.0
Had the most amazing time here, can’t wait to return;10
My go to hotel whenever I’m in London;10
Great staff, great property;9.0
Great Hotel;10
A wonderful, relaxing three-night solo stay.;8.0
Very good;8.0
Very good;8.0
Wow wow wow;10
Very good;8.0
Very good;8.0
Exceptional;10
Relaxing and enjoyable;9.0
Stunning;10
Really great stay;9.0
Exceptional;10
Exceptional;10
Very good;8.0
Great location, good hotel.;9.0
Very good;8.0
Exceptional;10
All in all a good stay - clean, good value for money, central location!;8.0
Good;8.0
Amazing gem in London and great location.;10
Really good but suite was not great;8.0
Superb;9.0
It was very enjoyable;10
Excellent hotel, great location;9.0
Very nice hotel and excellent staff.;9.0
Exceptional;10
Amazing rooms, amazing bed and such lovely staff thank you;10
Very good;8.0
Very good;8.0
Pleasant stay in a good hotel in a good location;8.0
Great to be back after COVID-19;8.0
Exceptional;10
perfect stay and great value;10
Exceptional;10
Very good;8.0
Relaxing;8.0
Exceptional;10
Clean comfortable stay in heart of Central London;9.0
Exceptional;10
Really nice hotel and a great location for your stay in London;9.0
Superb;9.0
Breakfast wasn’t buffet due COVID-19, was served at the table, but we couldn’t have all the options and were small porti;8.0
Very good;8.0
I wanted to explore London again after lockdown and this gave me the opportunity;8.0
Great hotel!;10
Perfecto;10
Exceptional;10
Fab rooms , fair location;9.0
Modern hotel - great location;8.0
Super hotel near St Paul’s and close to Covent Garden;10
Exceptional;10
One of the best stays I've had in London;10
Exceptional;10
Very enjoyable & accommodating;9.0
Excellent;10
Exceptional;10
Perfect little get away felt like we was abroad it was amazing;10
Great location and amazing hotel;10
Superb;9.0
Excellent all round could not fault anything. Excellent value for money;10
Exceptional;10
Really nice would recommend and would stay again;8.0
Exceptional;10
Amazing 21st birthday stay;10
Excellent;10
No complaints from us. We were very pleased indeed.;10
Service at breakfast was very slow, but the food was delicious. Paid extra for a balcony room, but balcony was dirty and;8.0
Superb;9.0
Very good;8.0
Birthday trip;9.2
Great staff, location and extremely comfortable beds and rooms. Recommend you to try ????;9.0
Exceptional;9.6
Exceptional;9.6
Good value for money;9.0
Perfect for a weekend in London;10
Enjoyable stay in a well appointed hotel. Staff friendly and accommodating.;9.0
Superb little gem hidden away in a very accessible location.  Would definitely stay here again!!;8.0
Exceptional;9.6
Superb;9.0
Superb;9.0
short stay but very comfortable with freindly staff in the main;8.0
Quiet, ideal location and friendly.;9.6
Exceptional;10
Exactly what we expected;10
Very good;8.0
Very good;8.0
excellent hotel for a fair price, well located for The Strand/ Covent Garden;9.0
Exceptional;10
Lovely hotel with comfortable rooms and good service.;9.0
Would definitely recommend and stay here again in the future.;9.0
Fantastic hotel to explore London from;10
Perfect;9.0
Great hotel helpful and friendly staff great location;10
Exceptional;10
Very good;8.0
Apex Hotel Fleet Street;9.6
Good central location?;9.2
Good hotel nice location;8.0
Exceptional;10
Comfortable;8.0
Tucked away delight!;10
Very good stay at convenient location;8.0
Great stay;10
Great , relaxing couple of days;10
Nice and big room, A quiet oasis in the city. Loved the bathroom.;9.0
Superb;9.0
Family travel to London;8.0
Excellent Location for the area.;10
Great place for a short or long stay;10
Very good;8.0
Superb;9.0
nice hotel although breakfast needs imporvement;7.0
I had the best time ever, and the bed was very comfortable.;9.0
Very good;8.0
Montcalm go the extra mile and is a beautiful hotel. The cleaning could be slightly better.;8.0
Very good;8.0
Superb;9.0
lovely, beautiful;8.0
Good stay, good location and will return;9.0
